Source,Target,Type,Weight
2,1,Undirected,441
3,1,Undirected,438
3,2,Undirected,393
4,1,Undirected,402
4,2,Undirected,356
4,3,Undirected,380
5,1,Undirected,112
5,2,Undirected,108
5,3,Undirected,101
5,4,Undirected,100
6,1,Undirected,2
6,2,Undirected,3
6,3,Undirected,3
6,4,Undirected,3
6,5,Undirected,1
7,1,Undirected,1
7,2,Undirected,1
7,3,Undirected,1
8,1,Undirected,29
8,2,Undirected,29
8,3,Undirected,31
8,4,Undirected,28
8,5,Undirected,7
8,6,Undirected,1
8,7,Undirected,1
9,1,Undirected,37
9,2,Undirected,36
9,3,Undirected,37
9,4,Undirected,31
9,5,Undirected,12
9,6,Undirected,1
9,7,Undirected,1
9,8,Undirected,29
10,1,Undirected,28
10,2,Undirected,28
10,3,Undirected,29
10,4,Undirected,26
10,5,Undirected,9
10,6,Undirected,1
10,7,Undirected,1
10,8,Undirected,28
10,9,Undirected,30
11,1,Undirected,28
11,2,Undirected,28
11,3,Undirected,27
11,4,Undirected,26
11,5,Undirected,4
11,7,Undirected,1
11,8,Undirected,4
11,9,Undirected,4
11,10,Undirected,4
12,1,Undirected,46
12,2,Undirected,39
12,3,Undirected,34
12,4,Undirected,32
12,5,Undirected,10
12,6,Undirected,1
12,7,Undirected,1
12,8,Undirected,4
12,9,Undirected,5
12,10,Undirected,4
12,11,Undirected,6
13,1,Undirected,17
13,2,Undirected,14
13,3,Undirected,18
13,4,Undirected,15
13,5,Undirected,5
13,7,Undirected,1
13,8,Undirected,2
13,9,Undirected,2
13,10,Undirected,2
13,11,Undirected,3
13,12,Undirected,1
14,1,Undirected,4
14,2,Undirected,4
14,3,Undirected,3
14,4,Undirected,1
14,7,Undirected,1
14,8,Undirected,1
14,9,Undirected,1
14,10,Undirected,1
14,11,Undirected,1
14,12,Undirected,1
14,13,Undirected,1
15,1,Undirected,1
15,2,Undirected,1
15,3,Undirected,1
15,4,Undirected,1
15,5,Undirected,1
16,1,Undirected,10
16,2,Undirected,9
16,3,Undirected,8
16,4,Undirected,8
16,5,Undirected,3
16,9,Undirected,1
16,11,Undirected,1
16,12,Undirected,1
16,15,Undirected,1
17,3,Undirected,1
17,8,Undirected,1
17,9,Undirected,1
17,10,Undirected,1
18,1,Undirected,2
18,2,Undirected,2
18,3,Undirected,2
18,4,Undirected,2
19,1,Undirected,2
19,2,Undirected,2
19,3,Undirected,2
19,4,Undirected,2
19,18,Undirected,1
20,1,Undirected,1
20,3,Undirected,1
20,4,Undirected,1
20,13,Undirected,1
21,1,Undirected,11
21,2,Undirected,8
21,3,Undirected,10
21,4,Undirected,10
21,5,Undirected,3
21,6,Undirected,1
21,8,Undirected,2
