episode_id,character_id
1,1
1,2
1,3
1,4
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
2,1
2,2
2,3
2,4
2,103
2,104
2,105
2,106
2,149
3,1
3,4
3,24
3,25
3,26
3,27
3,35
3,103
4,1
4,2
4,3
4,4
4,35
4,67
4,68
5,1
5,2
5,3
5,4
5,92
5,94
5,95
5,96
6,1
6,2
6,3
6,4
6,47
6,48
7,1
7,2
7,3
7,4
7,5
7,74
7,75
7,150
8,1
8,2
8,3
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
9,1
9,2
9,3
9,4
9,33
9,34
9,112
9,113
9,151
10,1
10,2
10,3
10,46
10,55
10,56
10,152
11,1
11,2
11,3
11,46
11,131
11,153
11,154
12,1
12,3
12,4
12,5
12,13
12,33
12,34
12,50
12,51
12,52
12,91
12,110
13,1
13,2
13,3
13,4
13,5
13,90
13,155
14,1
14,2
14,3
14,4
14,46
14,75
14,103
14,104
14,105
15,1
15,2
15,3
15,35
15,43
15,112
15,156
16,1
16,2
16,3
16,4
16,5
16,102
16,157
17,1
17,2
17,3
17,4
17,18
17,19
17,24
17,35
18,1
18,35
18,54
18,397
19,1
19,2
19,3
19,4
19,5
19,36
19,73
20,1
20,2
20,3
20,4
20,33
20,34
20,41
20,50
21,1
21,3
21,4
21,98
21,99
22,1
22,2
22,3
22,4
22,5
22,91
22,110
22,118
22,119
23,1
23,2
23,3
23,4
23,28
23,29
23,30
23,35
23,98
23,296
24,1
24,2
24,3
24,4
24,5
24,6
24,35
24,38
24,98
24,103
24,158
24,159
25,1
25,2
25,33
25,34
25,38
25,145
25,146
25,147
26,1
26,2
26,3
26,4
26,5
26,11
26,36
26,120
26,121
26,137
27,1
27,2
27,3
27,33
27,34
27,38
27,42
27,122
27,123
28,1
28,2
28,3
28,4
28,5
28,129
28,130
29,1
29,2
29,3
29,4
29,36
29,41
29,160
30,1
30,4
30,21
30,29
30,80
30,81
30,161
31,1
31,2
31,3
31,4
31,5
31,35
31,100
31,110
31,162
31,398
32,1
32,2
32,3
32,4
32,26
32,32
32,103
32,163
33,1
33,2
33,3
33,4
33,11
33,73
33,132
34,2
34,3
34,41
34,46
34,59
34,60
34,106
35,1
35,2
35,3
35,35
35,43
36,1
36,2
36,3
36,4
36,35
36,46
36,68
36,164
37,1
37,3
37,4
37,165
38,1
38,3
38,4
38,35
38,36
38,45
39,1
39,2
39,3
39,42
39,52
39,71
39,72
39,399
40,1
40,2
40,3
40,4
40,5
40,15
40,16
40,35
40,46
40,400
40,401
41,3
41,4
41,46
41,91
41,107
41,108
41,109
41,110
42,1
42,2
42,3
42,4
42,5
42,9
42,10
42,35
42,36
42,43
42,45
42,68
42,102
42,110
42,167
43,1
43,2
43,3
43,4
43,12
43,35
43,45
43,55
43,65
44,1
44,2
44,3
44,95
44,120
45,1
45,3
45,33
45,34
45,45
45,110
45,168
45,402
46,1
46,3
46,35
46,43
46,169
47,1
47,2
47,3
47,4
47,5
47,33
47,34
47,98
48,1
48,2
48,3
48,4
48,55
48,110
48,123
48,403
49,1
49,2
49,3
49,4
49,8
49,38
50,1
50,2
50,3
50,4
50,5
50,33
50,34
50,38
50,75
50,128
51,1
51,2
51,3
51,36
51,37
51,41
51,55
51,103
52,1
52,35
52,38
52,43
53,2
53,3
53,4
53,42
53,46
53,132
54,1
54,2
54,3
54,4
54,35
54,41
54,135
54,136
55,1
55,2
55,3
55,4
55,5
55,115
56,1
56,2
56,3
56,4
56,13
56,27
56,33
56,34
56,110
57,1
57,2
57,3
57,14
57,25
57,33
57,42
57,46
58,1
58,2
58,3
58,4
58,46
58,142
58,170
59,1
59,2
59,3
59,4
59,35
59,404
60,1
60,2
60,3
60,4
60,8
60,9
60,10
60,38
60,50
60,103
60,110
60,171
61,1
61,2
61,3
61,4
61,5
61,36
61,172
61,173
62,1
62,2
62,11
62,12
62,27
62,36
62,38
62,110
62,123
63,1
63,2
63,4
63,38
63,75
63,174
63,175
64,1
64,2
64,3
64,4
64,35
64,36
64,41
64,42
64,43
64,44
64,46
64,55
64,75
64,95
64,103
64,106
64,110
64,119
65,1
65,2
65,3
65,4
65,5
65,53
65,91
65,100
65,103
66,1
66,2
66,3
66,29
66,35
66,103
66,110
66,123
66,405
67,1
67,2
67,3
67,4
67,9
67,29
67,45
67,116
67,117
67,176
68,1
68,2
68,4
68,38
68,75
68,406
68,407
69,1
69,2
69,3
69,4
69,5
69,36
69,110
70,1
70,2
70,4
70,30
70,33
70,34
70,35
70,43
70,98
70,177
71,1
71,2
71,3
71,4
71,35
71,178
71,179
71,408
72,1
72,2
72,3
72,4
72,33
72,34
72,38
72,55
72,120
72,122
72,123
73,1
73,2
73,3
73,4
73,42
73,91
73,180
73,181
74,1
74,4
74,110
74,123
74,138
74,182
74,183
74,184
75,1
75,2
75,3
75,4
75,38
75,42
75,144
76,1
76,2
76,4
76,35
76,43
76,55
76,185
76,409
77,1
77,2
77,3
77,4
77,35
77,55
78,1
78,2
78,3
78,4
78,36
78,91
78,92
78,110
78,118
78,410
79,2
79,3
79,4
79,8
79,9
79,10
79,42
79,50
79,58
79,75
79,91
79,95
79,123
79,411
80,1
80,2
80,3
80,4
80,27
80,29
80,75
80,412
81,1
81,3
81,4
81,21
81,50
81,91
81,110
81,119
82,1
82,2
82,3
82,4
82,12
82,27
82,38
82,42
82,186
82,412
82,413
83,1
83,2
83,3
83,4
83,5
83,13
83,21
83,27
83,41
83,44
83,92
84,1
84,2
84,3
84,22
84,35
84,188
85,1
85,3
85,5
85,35
85,43
85,415
86,1
86,2
86,3
86,4
86,29
86,35
86,36
86,41
86,46
86,55
86,92
86,112
86,141
86,187
87,1
87,2
87,3
87,4
87,5
87,27
87,29
87,117
88,1
88,2
88,3
88,4
88,11
88,33
88,36
88,110
88,132
88,189
88,416
89,1
89,3
89,12
89,36
89,46
89,110
89,417
90,1
90,2
90,3
90,35
90,38
90,55
90,95
90,190
91,1
91,2
91,3
91,4
91,35
91,42
91,75
91,418
91,419
92,1
92,4
92,27
92,191
93,2
93,3
93,4
93,35
93,36
93,38
93,50
93,95
93,110
93,119
93,420
94,1
94,2
94,4
94,12
94,50
94,98
94,421
95,4
95,43
95,98
95,110
95,192
96,1
96,2
96,35
96,38
96,55
96,91
96,193
96,422
96,423
97,1
97,3
97,4
97,27
97,36
98,1
98,2
98,3
98,4
98,23
98,38
98,133
98,171
99,1
99,2
99,3
99,4
99,35
99,46
99,95
99,104
99,122
100,3
100,36
100,41
100,42
100,58
100,82
100,83
100,84
100,123
100,138
101,1
101,2
101,3
101,4
101,6
101,12
101,21
101,33
101,36
101,42
101,75
101,103
101,113
101,122
101,194
102,1
102,2
102,3
102,35
102,47
102,91
102,92
103,1
103,2
103,3
103,4
103,11
103,45
103,55
104,1
104,3
104,4
104,36
104,95
104,104
105,1
105,3
105,4
105,42
105,138
105,195
106,1
106,2
106,91
107,1
107,2
107,3
107,4
107,80
107,91
107,196
108,1
108,3
108,4
108,13
108,20
108,34
108,42
108,43
108,44
108,75
108,110
108,424
108,425
109,1
109,2
109,3
109,4
109,5
109,9
109,33
109,34
109,36
109,41
109,42
109,45
109,46
109,65
109,123
110,1
110,2
110,3
110,4
110,11
110,123
110,197
111,1
111,2
111,3
111,4
111,5
111,9
111,12
111,27
111,42
112,1
112,2
112,3
112,4
112,5
112,123
112,198
112,426
113,1
113,2
113,3
113,4
114,1
114,2
114,4
114,45
114,201
114,202
115,1
115,2
115,4
115,45
115,55
115,112
115,203
116,1
116,2
116,3
116,4
116,5
116,33
116,34
116,35
116,38
117,1
117,3
117,4
117,36
117,45
117,62
117,80
118,1
118,71
118,110
118,204
118,427
118,428
119,1
119,2
119,3
119,4
119,205
120,1
120,2
120,3
120,4
120,33
120,34
120,206
121,1
121,2
121,12
121,35
121,38
121,43
121,45
121,50
121,75
121,110
122,1
122,2
122,3
122,4
122,5
122,46
122,120
122,207
122,208
123,1
123,2
123,3
123,4
123,35
123,41
123,43
124,1
124,2
124,3
124,4
124,8
124,9
124,10
124,21
124,42
124,46
124,103
124,132
125,1
125,2
125,3
125,4
125,29
125,30
125,48
125,59
125,98
125,103
125,110
125,123
125,429
126,1
126,2
126,3
126,4
126,12
126,27
126,29
126,38
126,45
126,55
126,112
126,132
127,1
127,2
127,3
127,14
127,46
127,62
127,95
127,209
128,1
128,2
128,3
128,4
128,5
128,27
128,35
128,38
128,41
128,42
128,43
128,45
128,55
128,58
128,112
128,119
128,123
129,1
129,2
129,3
129,4
129,5
129,27
129,35
129,38
129,41
129,42
129,43
129,45
129,55
129,58
129,112
129,119
129,123
130,3
130,4
130,46
130,75
130,106
130,146
130,430
131,1
131,2
131,3
131,4
131,5
131,73
132,3
132,4
132,11
132,41
132,44
132,45
132,46
132,59
132,91
133,1
133,2
133,3
133,4
133,12
133,42
133,48
133,120
133,431
134,1
134,2
134,3
134,4
134,5
134,11
134,27
134,33
134,34
134,36
134,80
134,98
134,110
134,123
135,1
135,2
135,35
136,1
136,2
136,3
136,4
136,35
137,1
137,3
137,4
137,13
137,27
137,34
137,75
137,110
137,210
137,211
138,1
138,5
138,12
138,35
138,43
138,48
138,68
138,110
138,120
138,422
139,1
139,2
139,3
139,9
139,16
139,46
139,95
139,212
140,1
140,12
140,25
140,35
140,45
141,1
141,2
141,3
141,36
141,64
142,1
142,2
142,4
142,5
142,35
142,43
142,92
142,110
142,134
142,433
143,1
143,2
143,3
143,4
143,110
143,434
144,1
144,2
144,4
144,14
144,36
144,75
144,100
144,213
145,1
145,35
145,43
145,112
146,2
146,3
146,4
146,29
146,59
146,91
146,118
146,214
146,435
147,1
147,2
147,3
147,27
147,33
147,34
147,120
147,215
148,1
148,2
148,3
148,4
148,33
148,34
148,42
148,46
148,95
149,1
149,2
149,3
149,4
149,5
149,11
149,12
149,27
149,29
149,30
149,35
149,38
149,43
149,45
149,46
149,58
149,60
149,80
149,92
149,95
149,110
149,132
150,1
150,2
150,3
150,35
150,36
150,38
150,43
150,92
151,1
151,4
151,12
151,71
151,75
151,123
151,126
152,1
152,3
152,4
153,1
153,2
153,3
153,4
153,36
153,46
153,216
154,1
154,2
154,3
154,4
154,98
154,102
155,1
155,2
155,3
155,4
155,43
155,217
156,1
156,2
156,3
156,8
156,9
156,10
156,45
156,59
156,137
156,218
156,436
157,1
157,2
157,35
157,43
157,219
158,1
158,2
158,3
158,4
158,21
158,42
158,91
158,220
159,1
159,2
159,3
159,4
159,16
159,46
159,221
160,1
160,4
160,8
160,9
160,10
160,27
160,42
160,46
160,58
160,95
160,123
161,1
161,2
161,4
161,36
161,222
162,1
162,2
162,223
163,1
163,2
163,3
163,4
163,30
163,35
163,43
163,45
163,408
164,1
164,2
164,3
164,4
164,35
164,71
164,224
165,1
165,3
165,4
165,35
165,43
165,112
166,1
166,2
166,3
166,4
166,5
166,35
166,38
166,98
166,225
167,1
167,2
167,3
167,4
167,91
167,110
167,118
167,120
167,124
167,125
167,226
168,1
168,2
168,3
168,4
168,38
168,45
168,227
169,3
169,4
169,11
169,13
169,27
169,110
169,140
170,1
170,2
170,3
170,4
170,5
170,30
170,98
170,110
171,1
171,2
171,3
171,4
171,27
171,36
171,45
171,71
171,75
171,228
172,3
172,4
172,27
172,42
172,46
172,58
172,103
172,104
173,1
173,2
173,3
173,4
173,11
173,27
173,41
173,82
173,229
174,1
174,4
174,35
174,43
174,112
174,438
175,1
175,2
175,3
175,4
175,8
175,9
175,10
175,11
175,36
176,1
176,2
176,3
176,35
176,43
176,46
176,50
176,55
176,112
176,138
176,230
176,292
177,1
177,2
177,3
177,4
177,5
177,8
177,9
177,10
177,21
177,27
177,34
177,42
177,43
177,45
177,53
177,91
177,92
177,112
177,120
177,138
177,231
177,439
178,1
178,2
178,3
178,4
178,27
178,42
178,232
179,1
179,2
179,3
179,38
179,45
179,66
180,1
180,2
180,3
180,42
180,52
180,75
180,103
180,131
180,233
181,1
181,2
181,3
181,4
181,42
181,46
181,95
181,110
181,440
182,1
182,2
182,3
182,4
182,33
182,34
182,41
182,44
182,45
182,73
182,75
182,234
183,1
183,2
183,3
183,12
183,33
183,46
183,132
184,1
184,3
184,4
184,27
184,36
184,95
184,441
184,442
185,1
185,2
185,12
185,126
185,235
186,1
186,2
186,4
186,52
186,443
187,1
187,2
187,27
187,29
187,36
187,88
187,89
187,132
188,1
188,2
188,3
188,4
188,41
188,50
188,127
188,444
189,1
189,2
189,3
189,132
189,413
190,1
190,2
190,3
190,27
190,237
191,1
191,2
191,3
191,4
191,11
191,35
191,36
191,123
191,238
191,239
192,1
192,2
192,3
192,4
192,25
192,26
192,36
192,45
192,46
192,95
192,138
193,3
193,110
193,446
194,1
194,38
194,45
194,122
194,240
195,1
195,2
195,3
195,4
195,12
195,21
195,138
196,2
196,3
196,4
196,8
196,9
196,10
196,27
196,35
196,75
196,95
196,120
196,138
197,1
197,3
197,4
197,12
197,35
197,38
197,43
197,45
197,46
